timestamp,open,high,low,close
2024-12-13 12:00:00,1.04889,1.05241,1.04822,1.04889
2024-12-13 16:00:00,1.04889,1.05061,1.04867,1.04947
2024-12-13 20:00:00,1.04953,1.04977,1.04927,1.04969
2024-12-15 20:00:00,1.04856,1.0511,1.04831,1.05095
2024-12-16 00:00:00,1.05097,1.05229,1.05093,1.05115
2024-12-16 04:00:00,1.05123,1.05216,1.05044,1.05049
2024-12-16 08:00:00,1.05048,1.05246,1.04833,1.04907
2024-12-16 12:00:00,1.04909,1.05126,1.04742,1.05068
2024-12-16 16:00:00,1.05063,1.05227,1.04951,1.051
2024-12-16 20:00:00,1.05103,1.05182,1.05066,1.0517
2024-12-17 00:00:00,1.05165,1.05342,1.0511,1.05127
2024-12-17 04:00:00,1.05119,1.05128,1.04954,1.04973
2024-12-17 08:00:00,1.04974,1.05,1.04789,1.04915
2024-12-17 12:00:00,1.04911,1.05113,1.0488,1.04987
2024-12-17 16:00:00,1.04988,1.05159,1.04879,1.04887
2024-12-17 20:00:00,1.04884,1.04956,1.04851,1.04946
2024-12-18 00:00:00,1.04946,1.05037,1.04926,1.04989
2024-12-18 04:00:00,1.04992,1.0513,1.04936,1.0497
2024-12-18 08:00:00,1.04966,1.05038,1.04877,1.04966
2024-12-18 12:00:00,1.04966,1.05031,1.04697,1.04739
2024-12-18 16:00:00,1.04742,1.04925,1.03737,1.0377
2024-12-18 20:00:00,1.03772,1.03802,1.03443,1.03506
2024-12-19 00:00:00,1.03504,1.0391,1.03504,1.03781
2024-12-19 04:00:00,1.03781,1.04093,1.03748,1.03948
2024-12-19 08:00:00,1.03948,1.04224,1.03904,1.04034
2024-12-19 12:00:00,1.04037,1.04138,1.03767,1.03796
2024-12-19 16:00:00,1.03796,1.03846,1.03548,1.03614
2024-12-19 20:00:00,1.03614,1.03694,1.03585,1.03643
2024-12-20 00:00:00,1.03642,1.03689,1.03588,1.03621
2024-12-20 04:00:00,1.03623,1.0385,1.0343,1.03826
2024-12-20 08:00:00,1.03829,1.03985,1.03756,1.03917
2024-12-20 12:00:00,1.03916,1.04189,1.03858,1.03972
2024-12-20 16:00:00,1.03969,1.04477,1.03957,1.04452
2024-12-20 20:00:00,1.04446,1.04471,1.04274,1.04314
2024-12-22 20:00:00,1.04247,1.04443,1.04247,1.04335
2024-12-23 00:00:00,1.0434,1.04434,1.04266,1.04391
2024-12-23 04:00:00,1.04389,1.04455,1.04111,1.04126
2024-12-23 08:00:00,1.04131,1.04195,1.03869,1.03997
2024-12-23 12:00:00,1.03999,1.04085,1.03841,1.03905
2024-12-23 16:00:00,1.03904,1.04179,1.03894,1.04114
2024-12-23 20:00:00,1.04109,1.04142,1.03993,1.04043
2024-12-24 00:00:00,1.04038,1.04089,1.03885,1.03912
2024-12-24 04:00:00,1.03909,1.03988,1.03903,1.03906
2024-12-24 08:00:00,1.03906,1.04058,1.03891,1.03949
2024-12-24 12:00:00,1.03945,1.04103,1.03888,1.03916
2024-12-24 16:00:00,1.03919,1.03966,1.03834,1.03921
2024-12-24 20:00:00,1.0401,1.0435,1.0384,1.0403
2024-12-25 00:00:00,1.0401,1.04118,1.03909,1.0402
2024-12-25 04:00:00,1.04068,1.041,1.03998,1.0404
2024-12-25 08:00:00,1.0402,1.0422,1.03903,1.041
2024-12-25 20:00:00,1.03999,1.0404,1.03954,1.03988
2024-12-26 00:00:00,1.03992,1.04044,1.03929,1.04011
2024-12-26 04:00:00,1.04003,1.0403,1.03904,1.03977
2024-12-26 08:00:00,1.03974,1.04033,1.03912,1.04011
2024-12-26 12:00:00,1.0401,1.04153,1.03924,1.04092
2024-12-26 16:00:00,1.04088,1.043,1.04064,1.04174
2024-12-26 20:00:00,1.04175,1.04246,1.04133,1.04221
2024-12-27 00:00:00,1.04221,1.0424,1.04065,1.04126
2024-12-27 04:00:00,1.04128,1.04249,1.04049,1.04214
2024-12-27 08:00:00,1.04219,1.04407,1.0409,1.04389
2024-12-27 12:00:00,1.04387,1.04442,1.04158,1.04215
2024-12-27 16:00:00,1.04221,1.04324,1.04146,1.04284
2024-12-27 20:00:00,1.04281,1.04287,1.04225,1.04254
2024-12-29 20:00:00,1.04266,1.0434,1.04243,1.04292
2024-12-30 00:00:00,1.04303,1.04313,1.04208,1.04245
2024-12-30 04:00:00,1.04246,1.04318,1.04211,1.04268
